127.0.0.1 - - [02/Aug/2022:10:24:16 +0900] "GET / HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [02/Aug/2022:10:24:17 +0900] "GET / HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [02/Aug/2022:10:24:17 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Aug/2022:10:44:35 +0900] "GET / HTTP/1.1" 200 3220
0:0:0:0:0:0:0:1 - - [02/Aug/2022:10:44:38 +0900] "GET /cfbean/List.do HTTP/1.1" 200 4245
0:0:0:0:0:0:0:1 - - [02/Aug/2022:10:44:38 +0900] "GET /inc/styles.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Aug/2022:10:44:38 +0900] "GET /inc/datatables.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Aug/2022:10:44:38 +0900] "GET /inc/datatables.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [02/Aug/2022:10:44:38 +0900] "GET /img/list1.jpg HTTP/1.1" 200 37004
0:0:0:0:0:0:0:1 - - [02/Aug/2022:10:44:40 +0900] "GET / HTTP/1.1" 200 3220
